user_id,dish_id,rating
68960,3020,4.0
68960,1534,5.0
68960,2810,5.0
68960,692,5.0
68960,1559,5.0
68960,1571,5.0
68960,721,5.0
68960,660,5.0
68960,159,5.0
68960,3066,5.0
68960,799,4.0
68960,2285,5.0
68960,1814,5.0
68960,2954,5.0
68960,659,4.0
68960,364,5.0
68960,3165,5.0
68960,2529,5.0
68960,903,4.0
68960,2412,5.0
68960,188,5.0
68960,429,5.0
68960,282,3.0
68960,1391,5.0
68960,539,5.0
68960,1598,5.0
68960,694,5.0
68960,73,5.0
68960,817,5.0
68960,742,5.0
68960,2422,5.0
68960,3359,4.0
68960,3190,4.0
68960,3222,5.0
68960,658,5.0
68960,670,5.0
68960,41,5.0
68960,2566,4.0
68960,508,5.0
68960,2432,5.0
68960,1147,5.0
68960,822,5.0
68960,1909,5.0
68960,1524,4.0
68960,3302,5.0
68960,1829,5.0
68960,234,4.0
68960,431,5.0
68960,126,5.0
68960,1,5.0
68960,3152,5.0
68960,1979,4.0
68960,2298,5.0
68960,493,5.0
68960,1717,5.0
68960,2299,5.0
68960,610,4.0
68960,2727,4.0
68960,2130,3.0
68960,1538,5.0
68960,3148,5.0
68960,1660,4.0
68960,1553,4.0
68960,830,5.0
68960,1018,5.0
68960,2574,4.0
68960,2276,4.0
68960,1565,5.0
68960,1006,5.0
68960,993,5.0
68960,3348,5.0
68960,1690,5.0
68960,2428,5.0
68960,1887,4.0
68960,881,4.0
68960,662,5.0
68960,109,5.0
68960,522,5.0
268973,2122,5.0
268973,2779,5.0
268973,1156,5.0
268973,1959,5.0
268973,3,5.0
268973,1983,5.0
187281,2122,5.0
187281,2427,3.0
187281,413,4.0
187281,2079,5.0
187281,366,5.0
187281,2107,5.0
187281,2229,5.0
187281,26,4.0
187281,50,5.0
187281,80,4.0
187281,6,5.0
187281,2226,5.0
187281,136,0.0
187281,1901,3.0
187281,659,4.0
187281,2091,5.0
187281,2143,5.0
187281,152,3.0
187281,513,5.0
187281,2098,0.0
187281,13,5.0
187281,2039,5.0
187281,2462,5.0
187281,2422,5.0
187281,2566,5.0
187281,2688,5.0
187281,508,5.0
187281,2424,5.0
187281,1909,0.0
187281,3273,5.0
187281,824,4.0
187281,2429,3.0
187281,102,5.0
187281,256,5.0
187281,680,5.0
187281,3,5.0
187281,1889,5.0
187281,401,5.0
187281,39,5.0
187281,668,5.0
187281,531,5.0
187281,60,5.0
187281,656,4.0
187281,2446,0.0
187281,42,5.0
187281,330,4.0
187281,2815,3.0
187281,2725,5.0
187281,510,5.0
187281,1887,5.0
187281,1900,5.0
187281,3149,5.0
187281,2676,5.0
230860,2122,5.0
230860,288,5.0
230860,1534,4.0
230860,1316,5.0
230860,660,5.0
230860,1924,5.0
230860,2794,4.0
230860,353,5.0
230860,291,5.0
230860,598,3.0
230860,1319,5.0
230860,136,5.0
230860,73,5.0
230860,1266,5.0
230860,1293,4.0
230860,51,4.0
230860,1,5.0
230860,2463,5.0
230860,538,4.0
230860,3148,5.0
230860,326,4.0
230860,2667,2.0
189475,2122,5.0
189475,1258,5.0
189475,9,5.0
189475,1891,5.0
189475,660,5.0
189475,37,5.0
189475,669,5.0
189475,2419,5.0
189475,1886,5.0
189475,7,5.0
189475,2188,5.0
189475,50,5.0
189475,3147,5.0
189475,2286,5.0
189475,659,5.0
189475,1939,5.0
189475,12,5.0
189475,2639,5.0
189475,13,5.0
189475,70,3.0
189475,269,5.0
189475,1987,5.0
189475,2688,5.0
189475,508,5.0
189475,2432,5.0
189475,3154,5.0
189475,666,5.0
189475,656,5.0
189475,2310,5.0
189475,1832,5.0
189475,945,0.0
189475,4,5.0
189475,2722,5.0
189475,1887,5.0
189475,123,5.0
189475,1539,5.0
358544,2122,5.0
358544,2488,5.0
358544,2710,5.0
358544,2453,5.0
358544,695,5.0
358544,2418,5.0
358544,1256,5.0
358544,2569,5.0
358544,572,5.0
358544,2706,4.0
358544,389,5.0
358544,1889,5.0
1141377,2122,3.0
1141377,275,5.0
1141377,1895,5.0
1141377,1112,3.0
1141377,70,4.0
1141377,2422,5.0
1141377,1905,5.0
290010,2122,4.0
290010,3326,5.0
290010,95,5.0
290010,107,5.0
290010,2571,5.0
290010,12,3.0
290010,79,4.0
290010,21,2.0
290010,701,4.0
290010,19,5.0
290010,29,5.0
290010,2441,5.0
290010,2153,5.0
290010,1254,5.0
290010,23,4.0
290010,377,4.0
1041886,2062,5.0
1041886,226,5.0
1041886,3002,5.0
1041886,1993,5.0
1041886,2242,5.0
54678,2062,4.0
54678,1534,5.0
54678,1258,5.0
54678,2810,5.0
54678,2260,5.0
54678,2494,5.0
54678,2454,4.0
54678,965,4.0
54678,2027,5.0
54678,2419,5.0
54678,2497,5.0
54678,665,5.0
54678,2456,5.0
54678,7,5.0
54678,1636,5.0
54678,2013,5.0
54678,2830,5.0
54678,2285,5.0
54678,2625,4.0
54678,2420,4.0
54678,1974,5.0
54678,524,5.0
54678,72,4.0
54678,12,5.0
54678,2040,5.0
54678,664,5.0
54678,2217,5.0
54678,63,3.0
54678,804,5.0
54678,317,5.0
54678,508,5.0
54678,2424,5.0
54678,380,5.0
54678,19,5.0
54678,1885,4.0
54678,1909,4.0
54678,53,5.0
54678,1294,2.0
54678,889,5.0
54678,834,5.0
54678,61,5.0
54678,27,5.0
54678,1920,5.0
54678,1889,5.0
54678,2601,5.0
54678,666,4.0
54678,321,5.0
54678,2417,5.0
54678,2502,3.0
54678,384,5.0
54678,440,5.0
54678,3169,5.0
666947,2062,5.0
666947,8,5.0
666947,16,5.0
666947,1888,5.0
666947,2663,5.0
666947,2469,5.0
666947,44,4.0
450571,2062,5.0
450571,702,5.0
450571,2027,5.0
450571,1001,5.0
450571,2505,5.0
450571,2621,4.0
450571,1272,5.0
450571,1044,5.0
450571,2422,5.0
450571,273,5.0
450571,2555,5.0
